alias_leak,memory_condition,mode,target_similarity,scored_similarity,observable_similarity,memory_similarity,arbiter_similarity,nearest_non_target,dominance,closure_gain,recovered,scored_recovered,competitor_won,false_positive,observable_alias_chance,count
0.0,adversarial_memory,exact_template_upper_bound,1.0,1.0,-0.0022069101143717073,-0.1693786081960999,0.09449238852505172,-1.0,2.0,1.0022069101143718,1.0,1.0,0.0,0.0,0.25,2048
0.0,coherent_memory,exact_template_upper_bound,1.0,1.0,-0.0022069101143717073,0.7886239852926356,0.7402676618416917,-1.0,2.0,1.0022069101143718,1.0,1.0,0.0,0.0,0.25,2048
0.0,destroyed_memory,exact_template_upper_bound,1.0,1.0,-0.0022069101143717073,0.09628525218062078,0.09630005251671742,-1.0,2.0,1.0022069101143718,1.0,1.0,0.0,0.0,0.25,2048
0.0,memory_swap,exact_template_upper_bound,1.0,1.0,-0.0022069101143717073,0.007994252034626692,0.009659855002896204,-1.0,2.0,1.0022069101143718,1.0,1.0,0.0,0.0,0.25,2048
0.0,shuffled_memory,exact_template_upper_bound,1.0,1.0,-0.0022069101143717073,0.12622026768223982,0.11103096939545556,-1.0,2.0,1.0022069101143718,1.0,1.0,0.0,0.0,0.25,2048
0.0,wrong_coherent_memory,exact_template_upper_bound,1.0,1.0,-0.0022069101143717073,0.007994252034626692,0.009659855002896204,-1.0,2.0,1.0022069101143718,1.0,1.0,0.0,0.0,0.25,2048
0.02,adversarial_memory,exact_template_upper_bound,1.0,1.0,0.0335296519179177,-0.1575297335332178,0.10607870321499553,-1.0,2.0,0.9664703480820823,1.0,1.0,0.0,0.0,0.25,2048
0.02,coherent_memory,exact_template_upper_bound,1.0,1.0,0.0335296519179177,0.7971894764488167,0.7500615547382381,-1.0,2.0,0.9664703480820823,1.0,1.0,0.0,0.0,0.25,2048
0.02,destroyed_memory,exact_template_upper_bound,1.0,1.0,0.0335296519179177,0.11109058041847816,0.10513760634853526,-1.0,2.0,0.9664703480820823,1.0,1.0,0.0,0.0,0.25,2048
0.02,memory_swap,exact_template_upper_bound,1.0,1.0,0.0335296519179177,0.018427378658502212,0.015457038243552382,-1.0,2.0,0.9664703480820823,1.0,1.0,0.0,0.0,0.25,2048
0.02,shuffled_memory,exact_template_upper_bound,1.0,1.0,0.0335296519179177,0.13993201160923066,0.12535153195958312,-1.0,2.0,0.9664703480820823,1.0,1.0,0.0,0.0,0.25,2048
0.02,wrong_coherent_memory,exact_template_upper_bound,1.0,1.0,0.0335296519179177,0.018427378658502212,0.015457038243552382,-1.0,2.0,0.9664703480820823,1.0,1.0,0.0,0.0,0.25,2048
0.02,coherent_memory,latent_memory_only,0.7971894764478863,0.7971894764478863,0.0335296519179177,0.7971894764488167,0.7500615547382381,0.2021068160060583,0.595082660441828,0.7636598245299686,1.0,1.0,0.0,0.0,0.25,2048
0.0,coherent_memory,latent_memory_only,0.7886239852917115,0.7886239852917115,-0.0022069101143717073,0.7886239852926356,0.7402676618416917,0.2076973980880802,0.5809265872036313,0.7908308954060832,1.0,1.0,0.0,0.0,0.25,2048
0.02,coherent_memory,memory_bounded_arbiter,0.7581209778631247,0.7581209778631247,0.0335296519179177,0.7971894764488167,0.7500615547382381,0.18431010675964135,0.5738108711034834,0.724591325945207,1.0,1.0,0.0,0.0,0.25,2048
0.02,coherent_memory,overdriven_arbiter,0.7523342809371868,0.7523342809371868,0.0335296519179177,0.7971894764488167,0.7500615547382381,0.16183040661985984,0.5905038743173269,0.7188046290192691,1.0,1.0,0.0,0.0,0.25,2048
0.02,coherent_memory,arbiter_only,0.7500615547373942,0.7500615547373942,0.0335296519179177,0.7971894764488167,0.7500615547382381,0.15650022160128485,0.5935613331361094,0.7165319028194765,1.0,1.0,0.0,0.0,0.25,2048
0.0,coherent_memory,memory_bounded_arbiter,0.7473381515034124,0.7473381515034124,-0.0022069101143717073,0.7886239852926356,0.7402676618416917,0.1899071355543446,0.5574310159490677,0.7495450616177841,1.0,1.0,0.0,0.0,0.25,2048
0.0,coherent_memory,overdriven_arbiter,0.7422146156335271,0.7422146156335271,-0.0022069101143717073,0.7886239852926356,0.7402676618416917,0.16579243858224707,0.5764221770512801,0.7444215257478989,1.0,1.0,0.0,0.0,0.25,2048
0.0,coherent_memory,arbiter_only,0.7402676618408561,0.7402676618408561,-0.0022069101143717073,0.7886239852926356,0.7402676618416917,0.16013295167424182,0.5801347101666143,0.7424745719552279,1.0,1.0,0.0,0.0,0.25,2048
0.02,coherent_memory,speed_only_no_memory,0.26549534882997305,0.26549534882997305,0.0335296519179177,0.7971894764488167,0.7500615547382381,0.17211380243984278,0.09338154639013029,0.23196569691205537,0.7353515625,0.7353515625,0.2646484375,0.0,0.25,2048
0.0,coherent_memory,speed_only_no_memory,0.2346571982035506,0.2346571982035506,-0.0022069101143717073,0.7886239852926356,0.7402676618416917,0.1736170817149291,0.06104011648862151,0.2368641083179223,0.66455078125,0.66455078125,0.33544921875,0.0,0.25,2048
0.02,destroyed_memory,overdriven_arbiter,0.11533410441008626,0.11533410441008626,0.0335296519179177,0.11109058041847816,0.10513760634853526,0.17625218482012056,-0.0609180804100343,0.08180445249216857,0.38671875,0.38671875,0.61328125,0.0,0.25,2048
0.02,destroyed_memory,memory_bounded_arbiter,0.11496844853350553,0.11496844853350553,0.0335296519179177,0.11109058041847816,0.10513760634853526,0.17622420302367636,-0.06125575449017083,0.08143879661558784,0.37548828125,0.37548828125,0.62451171875,0.0,0.25,2048
0.02,destroyed_memory,latent_memory_only,0.11109058041834445,0.11109058041834445,0.0335296519179177,0.11109058041847816,0.10513760634853526,0.17571433103270973,-0.06462375061436527,0.07756092850042676,0.37255859375,0.37255859375,0.62744140625,0.0,0.25,2048
0.0,destroyed_memory,overdriven_arbiter,0.10439480765681665,0.10439480765681665,-0.0022069101143717073,0.09628525218062078,0.09630005251671742,0.17075375052481687,-0.06635894286800022,0.10660171777118836,0.3681640625,0.3681640625,0.6318359375,0.0,0.25,2048
0.02,adversarial_memory,arbiter_only,0.10607870321487096,0.10607870321487096,0.0335296519179177,-0.1575297335332178,0.10607870321499553,0.17711902334854251,-0.07104032013367154,0.07254905129695326,0.35888671875,0.35888671875,0.64111328125,0.0,0.25,2048
0.02,destroyed_memory,arbiter_only,0.10513760634841078,0.10513760634841078,0.0335296519179177,0.11109058041847816,0.10513760634853526,0.1761738068800135,-0.07103620053160271,0.07160795443049307,0.35888671875,0.35888671875,0.64111328125,0.0,0.25,2048
0.0,destroyed_memory,arbiter_only,0.09630005251660549,0.09630005251660549,-0.0022069101143717073,0.09628525218062078,0.09630005251671742,0.17062744704996458,-0.07432739453335908,0.0985069626309772,0.34716796875,0.34716796875,0.65283203125,0.0,0.25,2048
0.0,adversarial_memory,arbiter_only,0.09449238852494272,0.09449238852494272,-0.0022069101143717073,-0.1693786081960999,0.09449238852505172,0.17298132253283907,-0.07848893400789635,0.09669929863931444,0.33544921875,0.33544921875,0.66455078125,0.0,0.25,2048
