memory_condition,mode,target_similarity,scored_similarity,observable_similarity,memory_similarity,arbiter_similarity,nearest_non_target,dominance,closure_gain,recovered,scored_recovered,competitor_won,false_positive,observable_alias_chance,count
adversarial_memory,exact_template_upper_bound,1.0,1.0,0.015661370901772997,-0.16345417086465885,0.10028554587002363,-1.0,2.0,0.984338629098227,1.0,1.0,0.0,0.0,0.25,4096
coherent_memory,exact_template_upper_bound,1.0,1.0,0.015661370901772997,0.792906730870726,0.7451646082899649,-1.0,2.0,0.984338629098227,1.0,1.0,0.0,0.0,0.25,4096
destroyed_memory,exact_template_upper_bound,1.0,1.0,0.015661370901772997,0.10368791629954947,0.10071882943262635,-1.0,2.0,0.984338629098227,1.0,1.0,0.0,0.0,0.25,4096
memory_swap,exact_template_upper_bound,1.0,1.0,0.015661370901772997,0.013210815346564453,0.012558446623224294,-1.0,2.0,0.984338629098227,1.0,1.0,0.0,0.0,0.25,4096
shuffled_memory,exact_template_upper_bound,1.0,1.0,0.015661370901772997,0.13307613964573523,0.11819125067751936,-1.0,2.0,0.984338629098227,1.0,1.0,0.0,0.0,0.25,4096
wrong_coherent_memory,exact_template_upper_bound,1.0,1.0,0.015661370901772997,0.013210815346564453,0.012558446623224294,-1.0,2.0,0.984338629098227,1.0,1.0,0.0,0.0,0.25,4096
coherent_memory,latent_memory_only,0.7929067308697989,0.7929067308697989,0.015661370901772997,0.792906730870726,0.7451646082899649,0.20490210704706924,0.5880046238227297,0.7772453599680259,1.0,1.0,0.0,0.0,0.25,4096
coherent_memory,memory_bounded_arbiter,0.7527295646832686,0.7527295646832686,0.015661370901772997,0.792906730870726,0.7451646082899649,0.18710862115699298,0.5656209435262756,0.7370681937814956,1.0,1.0,0.0,0.0,0.25,4096
coherent_memory,overdriven_arbiter,0.7472744482853569,0.7472744482853569,0.015661370901772997,0.792906730870726,0.7451646082899649,0.16381142260105344,0.5834630256843035,0.7316130773835839,1.0,1.0,0.0,0.0,0.25,4096
coherent_memory,arbiter_only,0.7451646082891252,0.7451646082891252,0.015661370901772997,0.792906730870726,0.7451646082899649,0.15831658663776335,0.5868480216513619,0.7295032373873522,1.0,1.0,0.0,0.0,0.25,4096
