condition,mode,target_similarity,true_target_similarity,nearest_non_target,dominance,recovered,competitor_won,false_positive,observable_similarity,memory_similarity,count
adversarial_memory,exact_template_upper_bound,1.0,1.0,-1.0,2.0,1.0,0.0,0.0,1.0,-0.8286676911569938,786432
adversarial_memory,observable_only,1.0,1.0,1.0,0.0,0.12502415974934897,0.0,0.0,1.0,-0.8286676911569938,786432
adversarial_memory,shuffled_label_control,0.1712086326036558,-0.4611733664992807,0.6729543836924416,-0.5017457510887858,0.12481689453125,0.87518310546875,0.0,1.0,-0.03597077028033293,786432
adversarial_memory,null_memory,1.0,1.0,1.0,0.0,0.12479400634765625,0.0,0.0,1.0,-0.8286676911569938,786432
adversarial_memory,speed_only_no_memory,0.7755976603137076,0.7755976603137076,0.7755976603137076,0.0,0.12460708618164062,0.0,0.0,1.0,-0.8286676911569938,786432
adversarial_memory,overdriven_arbiter,-0.44096398362076816,-0.44096398362076816,0.7073950900952087,-1.1483590737159768,0.0,1.0,0.0,1.0,-0.8286676911569938,786432
adversarial_memory,memory_bounded_arbiter,-0.4611733664992807,-0.4611733664992807,0.7298567823868858,-1.1910301488861665,0.0,1.0,0.0,1.0,-0.8286676911569938,786432
adversarial_memory,arbiter_only,-0.8245507182550198,-0.8245507182550198,0.6599262500489518,-1.4844769683039718,0.0,1.0,0.0,1.0,-0.8286676911569938,786432
adversarial_memory,latent_memory_only,-0.8286676911569938,-0.8286676911569938,0.6651350615703229,-1.4938027527273166,0.0,1.0,0.0,1.0,-0.8286676911569938,786432
coherent_memory,exact_template_upper_bound,1.0,1.0,-1.0,2.0,1.0,0.0,0.0,1.0,1.0,786432
coherent_memory,arbiter_only,1.0,1.0,0.13617749278361466,0.8638225072163853,1.0,0.0,0.0,1.0,1.0,786432
coherent_memory,latent_memory_only,1.0,1.0,0.13692705321920412,0.8630729467807959,1.0,0.0,0.0,1.0,1.0,786432
coherent_memory,overdriven_arbiter,1.0,1.0,0.30810455451739244,0.6918954454826077,1.0,0.0,0.0,1.0,1.0,786432
coherent_memory,memory_bounded_arbiter,1.0,1.0,0.30900875868659566,0.6909912413134043,1.0,0.0,0.0,1.0,1.0,786432
coherent_memory,speed_only_no_memory,0.7755976603137076,0.7755976603137076,0.7755976603137076,0.0,0.12509663899739584,0.0,0.0,1.0,1.0,786432
